2025-03-07 10:15:52,191 [DEBUG] freemarker.cache  - Loading template for "spark/partials/category.ftl"("en_IN", UTF-8, parsed) from "jar:file:/C:/Users/ck/.m2/repository/com/aventstack/extentreports/5.1.2/extentreports-5.1.2.jar!/com/aventstack/extentreports/templates/spark/partials/category.ftl"
2025-03-07 10:15:52,193 [DEBUG] freemarker.cache  - Couldn't find template in cache for "spark/partials/device.ftl"("en_IN", UTF-8, parsed); will try to load it.
2025-03-07 10:15:52,193 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/device_en_IN.ftl"): Not found
2025-03-07 10:15:52,194 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/device_en.ftl"): Not found
2025-03-07 10:15:52,194 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/device.ftl"): Found
2025-03-07 10:15:52,194 [DEBUG] freemarker.cache  - Loading template for "spark/partials/device.ftl"("en_IN", UTF-8, parsed) from "jar:file:/C:/Users/ck/.m2/repository/com/aventstack/extentreports/5.1.2/extentreports-5.1.2.jar!/com/aventstack/extentreports/templates/spark/partials/device.ftl"
2025-03-07 10:15:52,195 [DEBUG] freemarker.cache  - Couldn't find template in cache for "spark/partials/author.ftl"("en_IN", UTF-8, parsed); will try to load it.
2025-03-07 10:15:52,196 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/author_en_IN.ftl"): Not found
2025-03-07 10:15:52,196 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/author_en.ftl"): Not found
2025-03-07 10:15:52,196 [DEBUG] freemarker.cache  - TemplateLoader.findTemplateSource("spark/partials/author.ftl"): Found
2025-03-07 10:15:52,196 [DEBUG] freemarker.cache  - Loading template for "spark/partials/author.ftl"("en_IN", UTF-8, parsed) from "jar:file:/C:/Users/ck/.m2/repository/com/aventstack/extentreports/5.1.2/extentreports-5.1.2.jar!/com/aventstack/extentreports/templates/spark/partials/author.ftl"
